LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,DATE_INCIDENT_BEGAN,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,cluster,cluster_title,nearest_station,stations_in_radius,stations_in_radius_dist_m
400 E STONEWALL ST,28202,35.220786,-80.845514,Central,476,2018/01/27 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,"Brooklyn Village,3rd St/Convention","146.04,384.65"
1500 SOUTH BV,28203,35.214569,-80.854568,Central,3,2025/03/14 00:00:00+00,Indoors,Retail,Drug Store,Shoplifting,4,"""Theft-Related Offenses""",Bland,Bland,154.13
200 S CALDWELL ST,28202,35.222953,-80.840194,Central,476,2020/12/12 00:00:00+00,Other,Public/Non-Residential,Other - Public/Non-Residential,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","251.76,270.8,511.51"
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2022/05/21 00:00:00+00,Other,Public/Non-Residential,Government Building,Missing Person,9,"""Fatal Incidents and Investigations""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
1400 S CHURCH ST,28203,35.219246,-80.857294,Central,339,2017/03/01 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,All Other Thefts,8,Theft and Vehicle Offenses,Bland,Bland,420.85
600 E 4TH ST,28202,35.2221,-80.839211,Central,476,2022/04/04 00:00:00+00,Indoors,Public/Non-Residential,Government Building,Credit Card/Teller Fraud,2,Fraud and Financial Crimes,CTC/Arena,"CTC/Arena,3rd St/Convention","377.83,388.25"
200 ALPHA MILL LN,28202,35.231461,-80.832261,Central,476,2019/02/28 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Burglary/B&E,7,"""Coercive and Violent Offenses""",9th Street,9th Street,316.64
100 W 5TH ST,28202,35.227994,-80.841946,Central,476,2020/02/18 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","335.87,363.89"
600 E 4TH ST,28202,35.2221,-80.839211,Central,476,2022/02/21 00:00:00+00,Other,Commercial Place,Bus - CATS Bus/Vehicle,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","377.83,388.25"
200 E BLAND ST,28203,35.217008,-80.854286,Central,3,2021/04/25 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Bland,Bland,158.91
300 RENSSELAER AV,28203,35.214569,-80.854572,Providence,3,2019/05/11 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",Bland,Bland,153.98
200 S CALDWELL ST,28202,35.222953,-80.840194,Central,476,2021/11/21 00:00:00+00,Outdoors,Open Area,Other - Open Area,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","251.76,270.8,511.51"
300 E 9TH ST,28202,35.23009,-80.836581,Central,476,2017/10/26 00:00:00+00,Outdoors,Commercial Place,Other - Commercial Place,All Other Thefts,8,Theft and Vehicle Offenses,9th Street,9th Street,150.23
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2017/07/30 00:00:00+00,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Robbery,7,"""Coercive and Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2017/04/08 00:00:00+00,Other,Public/Non-Residential,Government Building,Pornography/Obscene Material,5,Sexual Exploitation Crimes,7th Street,"CTC/Arena,7th Street","384.08,477.44"
200 S CALDWELL ST,28202,35.222953,-80.840194,Central,476,2021/05/02 00:00:00+00,Parking Lot,Commercial Place,Hotel/Motel,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","251.76,270.8,511.51"
300 E 5TH ST,28202,35.227041,-80.840856,Central,476,2023/01/08 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,Theft From Building,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,7th Street,3rd St/Convention","231.51,255.21,430.12"
900 N COLLEGE ST,28206,35.232917,-80.832622,Central,476,2022/12/17 00:00:00+00,Indoors,Residential,Shelter-Mission/Homeless,Missing Person,9,"""Fatal Incidents and Investigations""",9th Street,9th Street,417.26
1700 CAMDEN RD,28203,35.213679,-80.857913,Central,388,2026/01/05 00:00:00+00,Outdoors,Commercial Place,Other - Commercial Place,All Other Thefts,8,Theft and Vehicle Offenses,Bland,"East/West,Bland","224.24,338.13"
1700 CAMDEN RD,28202,35.213679,-80.857913,Central,388,2022/02/21 00:00:00+00,Outdoors,Open Area,Street/Highway,Robbery,7,"""Coercive and Violent Offenses""",Bland,"East/West,Bland","224.24,338.13"
200 E BLAND ST,28203,35.217008,-80.854286,Central,3,2025/10/29 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,Theft of Motor Vehicle Parts from Vehicle,8,Theft and Vehicle Offenses,Bland,Bland,158.91
100 N TRYON ST,28202,35.227199,-80.843083,Central,476,2020/11/09 00:00:00+00,Indoors,Residential,Private Residence,Forcible Rape,3,Sexual Assault Crimes,CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
2000 SOUTH BV,28203,35.209772,-80.859833,Central,3,2020/11/19 00:00:00+00,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,247.89
400 E 5TH ST,28202,35.225754,-80.838332,Central,476,2020/09/01 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",7th Street,"7th Street,CTC/Arena","164.45,290.57"
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2020/12/13 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
900 N COLLEGE ST,28206,35.232917,-80.832622,Central,476,2023/12/06 00:00:00+00,Indoors,Residential,Shelter-Mission/Homeless,Missing Person,9,"""Fatal Incidents and Investigations""",9th Street,9th Street,417.26
1700 SOUTH BV,28205,35.212734,-80.856643,Central,3,2020/10/27 00:00:00+00,Outdoors,Retail,Convenience Store,Burglary/B&E,7,"""Coercive and Violent Offenses""",Bland,"East/West,Bland","246.28,365.07"
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2021/09/05 00:00:00+00,Indoors,Public/Non-Residential,Government Building,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2019/06/01 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
2000 SOUTH BV,28203,35.209772,-80.859833,Central,3,2021/04/28 00:00:00+00,Indoors,Retail,Other - Retail,Shoplifting,4,"""Theft-Related Offenses""",East/West,East/West,247.89
400 E MARTIN LUTHER KING JR BV,28202,35.222248,-80.843363,Central,476,2020/09/01 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,Intimidation,7,"""Coercive and Violent Offenses""",CTC/Arena,"3rd St/Convention,Brooklyn Village,CTC/Arena","153.54,339.15,354.1"
300 N TRYON ST,28202,35.228772,-80.840838,Central,476,2022/06/30 00:00:00+00,Indoors,Public/Non-Residential,Other - Public/Non-Residential,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",7th Street,"7th Street,CTC/Arena","305.82,421.32"
300 N BREVARD ST,28202,35.226161,-80.837768,Central,476,2019/10/26 00:00:00+00,Parking Lot,Commercial Place,Stadium/Arena,All Other Thefts,8,Theft and Vehicle Offenses,9th Street,"7th Street,CTC/Arena,9th Street","120.41,353.86,466.35"
200 W TRADE ST,28202,35.228131,-80.844166,Central,476,2017/08/12 00:00:00+00,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,CTC/Arena,429.4
200 S CHURCH ST,28202,35.22733,-80.845307,Huntersville,437,2025/04/23 00:00:00+00,Parking Deck,Open Area,Other - Open Area,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","440.26,460.44"
100 E 9TH ST,28202,35.231011,-80.837663,Central,476,2020/01/21 00:00:00+00,Outdoors,Open Area,Other - Open Area,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,9th Street,9th Street,282.59
1900 S TRYON ST,28203,35.21309,-80.864091,Central,388,2020/01/07 00:00:00+00,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,465.69
100 N COLLEGE ST,28203,35.226243,-80.841973,,116,2025/03/03 00:00:00+00,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
300 ARLINGTON AV,28203,35.217197,-80.852903,Central,3,2017/09/27 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",Bland,Bland,264.16
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2019/10/28 00:00:00+00,Indoors,Public/Non-Residential,Government Building,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
200 EAST BV,28203,35.211751,-80.857709,Central,3,2021/04/01 00:00:00+00,Outdoors,Open Area,Street/Highway,Vehicle Recovery,8,Theft and Vehicle Offenses,East/West,East/West,134.62
1400 S TRYON ST,28203,35.216686,-80.855588,Central,339,2025/07/15 00:00:00+00,Outdoors,Commercial Place,Other - Commercial Place,All Other Thefts,8,Theft and Vehicle Offenses,Bland,Bland,98.98
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2023/10/03 00:00:00+00,Indoors,Commercial Place,Stadium/Arena,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
200 W MARTIN LUTHER KING JR BV,28202,35.225846,-80.847447,Central,476,2019/03/31 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Simple Assault,0,"""Violent and Public Safety Offenses""",3rd St/Convention,3rd St/Convention,469.97
100 E MOREHEAD ST,28203,35.22042,-80.850626,Central,476,2018/03/27 00:00:00+00,Parking Lot,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",Brooklyn Village,"Carson,Brooklyn Village","170.69,352.27"
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2017/02/25 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Trespass Of Real Property,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
100 S TRYON ST,28202,35.227199,-80.843083,Central,476,2019/10/22 00:00:00+00,Other,Commercial Place,Restaurant/Diner/Coffee Shop,Intimidation,7,"""Coercive and Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
900 N COLLEGE ST,28202,35.232917,-80.832622,Central,476,2023/02/22 00:00:00+00,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",9th Street,9th Street,417.26
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2022/10/10 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
100 W WORTHINGTON AV,28202,35.211597,-80.859634,Central,388,2017/07/05 00:00:00+00,Outdoors,Commercial Place,Other - Commercial Place,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,56.84
200 E 3RD ST,28202,35.224709,-80.844206,Central,476,2018/05/15 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,Theft From Building,8,Theft and Vehicle Offenses,CTC/Arena,"3rd St/Convention,CTC/Arena,Brooklyn Village","160.41,258.28,444.28"
1300 S COLLEGE ST,28203,35.217864,-80.853307,Central,339,2018/03/16 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Bland,Bland,288.32
1300 S COLLEGE ST,28203,35.217864,-80.853307,Central,339,2021/08/25 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",Bland,Bland,288.32
500 S COLLEGE ST,28203,35.223194,-80.846399,Central,476,2017/07/14 00:00:00+00,Outdoors,Open Area,Street/Highway,Weapon Law Violations,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,"Brooklyn Village,3rd St/Convention","206.03,307.34"
300 E 6TH ST,28202,35.227841,-80.839745,Central,476,2025/10/29 00:00:00+00,Parking Deck,Open Area,Other - Open Area,Motor Vehicle Theft,8,Theft and Vehicle Offenses,9th Street,"7th Street,CTC/Arena,9th Street","168.09,348.82,478.48"
900 SPINDLE ST,28202,35.230929,-80.831603,Central,476,2021/06/01 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Simple Assault,0,"""Violent and Public Safety Offenses""",9th Street,9th Street,337.83
500 E 7TH ST,28202,35.226069,-80.835717,Central,476,2020/05/07 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",9th Street,"7th Street,9th Street","248.5,407.93"
100 W MOREHEAD ST,28202,35.221779,-80.85213,Central,476,2023/10/14 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Trespass Of Real Property,1,"""Regulatory and Non-Violent Offenses""",Carson,Carson,341.54
100 W TRADE ST,28202,35.227199,-80.843083,Central,476,2022/06/13 00:00:00+00,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2024/12/09 00:00:00+00,Outdoors,Commercial Place,Stadium/Arena,Simple Assault,0,"""Violent and Public Safety Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2024/08/23 00:00:00+00,Indoors,Public/Non-Residential,Air/Bus/Train Terminal,Forcible Fondling,3,Sexual Assault Crimes,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
200 S COLLEGE ST,28202,35.225467,-80.843098,Central,476,2020/06/29 00:00:00+00,Other,Open Area,Street/Highway,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","163.83,205.97"
200 E BLAND ST,28203,35.217008,-80.854286,Central,3,2020/03/24 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Bland,Bland,158.91
600 N DAVIDSON ST,28202,35.22752,-80.831546,Central,476,2019/07/01 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Missing Person,9,"""Fatal Incidents and Investigations""",9th Street,9th Street,396.53
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2018/09/10 00:00:00+00,Indoors,Commercial Place,Other - Commercial Place,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
1700 CLEVELAND AV,28203,35.211846,-80.855454,Providence,3,2025/05/19 00:00:00+00,Outdoors,Open Area,Other - Open Area,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,338.38
300 E 7TH ST,28202,35.228585,-80.838701,Central,476,2019/03/29 00:00:00+00,Outdoors,Open Area,Public Park/Playground,Simple Assault,0,"""Violent and Public Safety Offenses""",9th Street,"7th Street,9th Street,CTC/Arena","162.23,358.76,466.85"
1400 S TRYON ST,28202,35.216686,-80.855588,Central,339,2020/11/07 00:00:00+00,Outdoors,Commercial Place,Restaurant/Diner/Coffee Shop,Simple Assault,0,"""Violent and Public Safety Offenses""",Bland,Bland,98.98
500 N COLLEGE ST,28202,35.229332,-80.837656,Central,476,2017/03/30 00:00:00+00,Outdoors,Commercial Place,Other - Commercial Place,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",9th Street,"7th Street,9th Street","237.09,245.11"
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2019/05/23 00:00:00+00,Indoors,Open Area,Bus Stop,Shoplifting,4,"""Theft-Related Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
300 S CHURCH ST,28202,35.226138,-80.847028,Central,476,2020/10/09 00:00:00+00,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Aggravated Assault,0,"""Violent and Public Safety Offenses""",3rd St/Convention,3rd St/Convention,457.15
