YEAR,LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,DATE_REPORTED,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,cluster,cluster_title,index_right,name,lat,lon,tempmax,tempmin,temp,precip,precipcover,cloudcover,humidity,windspeed,visibility,snow,conditions,DATE_INCIDENT_BEGAN,nearest_station,stations_in_radius,stations_in_radius_dist_m,x,y,x_snap,y_snap,centroid_id,nearest_tree_dist_m,trees_within_10m,trees_within_25m,trees_within_50m,nearest_tree_dist_ft
2024,500 E TRADE ST,28202,35.22,-80.84,Central,476,2024-04-14,Parking Lot,Commercial Place,Other - Commercial Place,Theft of Motor Vehicle Parts from Vehicle,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,83.8,45.7,66.2,0.0,0.0,18.7,45.2,13.6,9.9,0.0,Clear,,,,,,,,,,,,,,
2024,500 E TRADE ST,28202,35.22,-80.84,Central,476,2024-04-14,Parking Lot,Commercial Place,Other - Commercial Place,Theft of Motor Vehicle Parts from Vehicle,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,83.8,45.7,66.2,0.0,0.0,18.7,45.2,13.6,9.9,0.0,Clear,,,,,,,,,,,,,,
2024,500 E TRADE ST,28202,35.22,-80.84,Central,476,2024-04-14,Parking Lot,Commercial Place,Other - Commercial Place,Theft of Motor Vehicle Parts from Vehicle,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,83.8,45.7,66.2,0.0,0.0,18.7,45.2,13.6,9.9,0.0,Clear,,,,,,,,,,,,,,
2019,900 N COLLEGE ST,28206,35.23,-80.83,Central,476,2019-12-30,Indoors,Residential,Other - Residential,All Other Thefts,1,Property Theft and Vandalism,0,9th Street,35.2297,-80.835,69.5,51.1,64.1,0.0,0.0,49.8,58.2,19.1,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,600 S CALDWELL ST,28202,35.22,-80.85,Central,476,2024-03-15,Indoors,Retail,Drug Store,Shoplifting,7,"""Fraud and Theft Crimes""",4,Brooklyn Village,35.22139,-80.84694,66.6,56.9,62.5,0.515,12.5,78.9,70.5,10.6,6.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2020,300 S CHURCH ST,28202,35.23,-80.85,Central,476,2020-12-11,Outdoors,Open Area,Public Park/Playground,Simple Assault,4,Sexual Violence Offenses,3,3rd St/Convention,35.22361,-80.84306,64.4,36.9,51.0,0.0,0.0,34.1,70.8,8.9,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,200 S TRYON ST,28202,35.23,-80.84,Central,476,2025-10-14,Outdoors,Open Area,Other - Open Area,Intimidation,7,"""Fraud and Theft Crimes""",2,CTC/Arena,35.225,-80.84139,80.7,55.5,68.1,0.0,0.0,4.1,62.4,10.7,9.8,0.0,Clear,,,,,,,,,,,,,,
2025,200 S TRYON ST,28202,35.23,-80.84,Central,476,2025-10-14,Outdoors,Open Area,Other - Open Area,Intimidation,7,"""Fraud and Theft Crimes""",3,3rd St/Convention,35.22361,-80.84306,80.7,55.5,68.1,0.0,0.0,4.1,62.4,10.7,9.8,0.0,Clear,,,,,,,,,,,,,,
2023,1400 S CHURCH ST,28203,35.22,-80.86,Central,339,2023-08-27,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,93.3,71.8,79.4,0.945,29.17,62.2,78.1,12.4,9.5,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2025,300 S CHURCH ST,28201,35.23,-80.85,Central,476,2025-07-28,Outdoors,Open Area,Public Park/Playground,Drug/Narcotic Violations,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,98.8,78.9,88.1,0.0,0.0,52.0,58.0,11.2,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,600 E TRADE ST,28202,35.22,-80.84,Central,476,2025-10-21,Other,Public/Non-Residential,Government Building,Missing Person,9,Non-Criminal Incident Reports,1,7th Street,35.22722,-80.83806,78.2,45.4,61.3,0.0,0.0,17.1,56.9,17.5,9.8,0.0,Clear,,,,,,,,,,,,,,
2025,600 E TRADE ST,28202,35.22,-80.84,Central,476,2025-10-21,Other,Public/Non-Residential,Government Building,Missing Person,9,Non-Criminal Incident Reports,2,CTC/Arena,35.225,-80.84139,78.2,45.4,61.3,0.0,0.0,17.1,56.9,17.5,9.8,0.0,Clear,,,,,,,,,,,,,,
2024,500 E 4TH ST,28202,35.22,-80.84,Central,476,2024-01-16,Outdoors,Open Area,Street/Highway,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",1,7th Street,35.22722,-80.83806,44.5,26.8,36.8,0.148,25.0,79.1,70.3,15.4,8.4,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,500 E 4TH ST,28202,35.22,-80.84,Central,476,2024-01-16,Outdoors,Open Area,Street/Highway,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,44.5,26.8,36.8,0.148,25.0,79.1,70.3,15.4,8.4,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,500 E 4TH ST,28202,35.22,-80.84,Central,476,2024-01-16,Outdoors,Open Area,Street/Highway,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,44.5,26.8,36.8,0.148,25.0,79.1,70.3,15.4,8.4,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2023,600 S COLLEGE ST,28202,35.22,-80.85,Central,476,2023-04-20,Indoors,Commercial Place,ATM,Credit Card/Teller Fraud,0,Fraudulent Financial Crimes,3,3rd St/Convention,35.22361,-80.84306,83.9,56.9,71.2,0.0,0.0,35.8,46.1,13.1,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,600 S COLLEGE ST,28202,35.22,-80.85,Central,476,2023-04-20,Indoors,Commercial Place,ATM,Credit Card/Teller Fraud,0,Fraudulent Financial Crimes,4,Brooklyn Village,35.22139,-80.84694,83.9,56.9,71.2,0.0,0.0,35.8,46.1,13.1,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2018,200 W MARTIN LUTHER KING JR BV,28203,35.23,-80.85,Central,476,2018-12-05,Parking Deck,Commercial Place,Other - Commercial Place,Simple Assault,4,Sexual Violence Offenses,3,3rd St/Convention,35.22361,-80.84306,47.5,30.7,41.1,0.0,0.0,62.8,52.5,16.9,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,1800 SOUTH BV,28203,35.21,-80.86,Central,3,2019-09-16,Parking Lot,Public/Non-Residential,Air/Bus/Train Terminal,Theft From Motor Vehicle,1,Property Theft and Vandalism,7,East/West,35.21194,-80.85917,93.9,69.1,80.0,0.0,0.0,12.7,62.9,8.9,9.2,0.0,Clear,,,,,,,,,,,,,,
2019,300 S COLLEGE ST,28202,35.22,-80.84,Central,476,2019-06-03,Indoors,Public/Non-Residential,Other - Public/Non-Residential,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,85.8,62.3,76.5,0.0,0.0,34.8,53.8,11.2,8.4,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,300 S COLLEGE ST,28202,35.22,-80.84,Central,476,2019-06-03,Indoors,Public/Non-Residential,Other - Public/Non-Residential,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,85.8,62.3,76.5,0.0,0.0,34.8,53.8,11.2,8.4,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,300 S COLLEGE ST,28202,35.22,-80.84,Central,476,2019-06-03,Indoors,Public/Non-Residential,Other - Public/Non-Residential,All Other Thefts,1,Property Theft and Vandalism,4,Brooklyn Village,35.22139,-80.84694,85.8,62.3,76.5,0.0,0.0,34.8,53.8,11.2,8.4,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 N COLLEGE ST,28202,35.23,-80.84,Central,476,2017-05-28,Outdoors,Open Area,Street/Highway,Drug Equipment Violations,3,"""Regulatory and Nonviolent Offenses""",1,7th Street,35.22722,-80.83806,84.7,65.5,75.4,0.08,8.33,47.9,69.7,13.3,9.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2017,200 N COLLEGE ST,28202,35.23,-80.84,Central,476,2017-05-28,Outdoors,Open Area,Street/Highway,Drug Equipment Violations,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,84.7,65.5,75.4,0.08,8.33,47.9,69.7,13.3,9.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2017,200 N COLLEGE ST,28202,35.23,-80.84,Central,476,2017-05-28,Outdoors,Open Area,Street/Highway,Drug Equipment Violations,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,84.7,65.5,75.4,0.08,8.33,47.9,69.7,13.3,9.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2023,100 E 4TH ST,28202,35.23,-80.84,Central,476,2023-04-18,Outdoors,Open Area,Other - Open Area,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,78.0,44.5,62.0,0.0,0.0,8.3,37.9,12.0,9.8,0.0,Clear,,,,,,,,,,,,,,
2023,100 E 4TH ST,28202,35.23,-80.84,Central,476,2023-04-18,Outdoors,Open Area,Other - Open Area,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,78.0,44.5,62.0,0.0,0.0,8.3,37.9,12.0,9.8,0.0,Clear,,,,,,,,,,,,,,
2019,200 S CALDWELL ST,28202,35.22,-80.84,Central,476,2019-04-08,Other,Commercial Place,Hotel/Motel,All Other Thefts,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,79.6,62.7,68.4,1.023,37.5,72.1,83.4,13.3,6.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2019,200 S CALDWELL ST,28202,35.22,-80.84,Central,476,2019-04-08,Other,Commercial Place,Hotel/Motel,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,79.6,62.7,68.4,1.023,37.5,72.1,83.4,13.3,6.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2019,200 S CALDWELL ST,28202,35.22,-80.84,Central,476,2019-04-08,Other,Commercial Place,Hotel/Motel,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,79.6,62.7,68.4,1.023,37.5,72.1,83.4,13.3,6.3,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,200 S TRYON ST,28202,35.23,-80.84,Central,476,2024-12-16,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,54.2,39.7,46.9,0.017,8.33,97.0,89.9,6.7,5.1,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2024,200 S TRYON ST,28202,35.23,-80.84,Central,476,2024-12-16,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,54.2,39.7,46.9,0.017,8.33,97.0,89.9,6.7,5.1,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2025,200 W MARTIN LUTHER KING JR BV,28202,35.23,-80.85,Central,476,2025-07-19,Indoors,Retail,Convenience Store,Shoplifting,7,"""Fraud and Theft Crimes""",3,3rd St/Convention,35.22361,-80.84306,94.2,76.8,85.2,0.0,0.0,59.2,62.9,16.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2018,1800 S TRYON ST,28203,35.21,-80.86,Central,388,2018-07-26,Indoors,Retail,Other - Retail,False Pretenses/Swindle,0,Fraudulent Financial Crimes,7,East/West,35.21194,-80.85917,91.0,67.9,79.4,0.0,0.0,54.4,73.6,5.9,7.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,300 W TRADE ST,28202,35.23,-80.85,Central,476,2017-12-13,Indoors,Residential,Apartment/Duplex Private Res,Credit Card/Teller Fraud,0,Fraudulent Financial Crimes,2,CTC/Arena,35.225,-80.84139,47.1,26.4,36.9,0.0,0.0,13.7,32.8,18.5,9.9,0.0,Clear,,,,,,,,,,,,,,
2018,1300 S COLLEGE ST,28203,35.22,-80.85,Central,339,2018-09-26,Parking Deck,Open Area,Other - Open Area,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",6,Bland,35.21583,-80.85528,88.0,66.9,75.7,0.35,20.83,55.0,85.3,15.0,7.7,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2022,100 W TRADE ST,28202,35.23,-80.84,Central,476,2022-06-18,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,90.8,68.5,79.3,0.0,0.0,21.4,54.7,15.1,9.5,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,100 W TRADE ST,28202,35.23,-80.84,Central,476,2022-06-18,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,90.8,68.5,79.3,0.0,0.0,21.4,54.7,15.1,9.5,0.0,Partially cloudy,,,,,,,,,,,,,,
2021,200 S CALDWELL ST,28273,35.22,-80.84,Central,476,2021-02-02,Indoors,Open Area,Street/Highway,Impersonation,8,Fraudulent Identity Crimes,1,7th Street,35.22722,-80.83806,44.7,33.2,37.3,0.0,0.0,75.0,50.9,15.6,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2021,200 S CALDWELL ST,28273,35.22,-80.84,Central,476,2021-02-02,Indoors,Open Area,Street/Highway,Impersonation,8,Fraudulent Identity Crimes,2,CTC/Arena,35.225,-80.84139,44.7,33.2,37.3,0.0,0.0,75.0,50.9,15.6,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2021,200 S CALDWELL ST,28273,35.22,-80.84,Central,476,2021-02-02,Indoors,Open Area,Street/Highway,Impersonation,8,Fraudulent Identity Crimes,3,3rd St/Convention,35.22361,-80.84306,44.7,33.2,37.3,0.0,0.0,75.0,50.9,15.6,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2021,200 DOGGETT ST,28203,35.21,-80.86,Central,388,2021-07-10,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,Theft From Motor Vehicle,1,Property Theft and Vandalism,7,East/West,35.21194,-80.85917,88.9,69.2,80.1,0.001,4.17,59.3,71.3,8.8,9.1,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2023,100 W BLAND ST,28203,35.22,-80.86,Central,339,2023-02-20,Outdoors,Commercial Place,Other - Commercial Place,Damage/Vandalism Of Property,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,68.9,44.9,57.6,0.0,0.0,76.1,58.6,13.9,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2018,500 N CALDWELL ST,28202,35.23,-80.83,Central,476,2018-02-04,Indoors,Residential,Apartment/Duplex Private Res,Burglary/B&E,7,"""Fraud and Theft Crimes""",0,9th Street,35.2297,-80.835,42.0,33.0,37.2,1.011,25.0,98.4,75.9,13.8,6.6,0.0,"Snow, Rain, Overcast",,,,,,,,,,,,,,
2018,500 N CALDWELL ST,28202,35.23,-80.83,Central,476,2018-02-04,Indoors,Residential,Apartment/Duplex Private Res,Burglary/B&E,7,"""Fraud and Theft Crimes""",1,7th Street,35.22722,-80.83806,42.0,33.0,37.2,1.011,25.0,98.4,75.9,13.8,6.6,0.0,"Snow, Rain, Overcast",,,,,,,,,,,,,,
2023,500 S TRYON ST,28202,35.22,-80.85,Central,476,2023-05-11,Parking Deck,Commercial Place,Other - Commercial Place,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,80.8,56.9,69.7,0.0,0.0,48.7,56.7,8.2,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,500 S TRYON ST,28202,35.22,-80.85,Central,476,2023-05-11,Parking Deck,Commercial Place,Other - Commercial Place,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",4,Brooklyn Village,35.22139,-80.84694,80.8,56.9,69.7,0.0,0.0,48.7,56.7,8.2,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2021,100 W 5TH ST,28202,35.23,-80.84,Central,476,2021-07-16,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Simple Assault,4,Sexual Violence Offenses,1,7th Street,35.22722,-80.83806,92.3,72.7,81.7,0.0,0.0,41.9,71.0,14.0,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2021,100 W 5TH ST,28202,35.23,-80.84,Central,476,2021-07-16,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Simple Assault,4,Sexual Violence Offenses,2,CTC/Arena,35.225,-80.84139,92.3,72.7,81.7,0.0,0.0,41.9,71.0,14.0,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,200 S CHURCH ST,28202,35.23,-80.85,Central,476,2023-01-07,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,Theft From Motor Vehicle,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,55.9,37.0,46.4,0.0,0.0,73.0,58.9,7.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,200 S CHURCH ST,28202,35.23,-80.85,Central,476,2023-01-07,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,Theft From Motor Vehicle,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,55.9,37.0,46.4,0.0,0.0,73.0,58.9,7.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,1400 S TRYON ST,28203,35.22,-80.86,Central,339,2022-09-11,Outdoors,Open Area,Street/Highway,All Other Thefts,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,84.0,71.0,76.4,0.047,29.17,86.8,83.5,10.1,9.4,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,400 E MARTIN LUTHER KING JR BV,28202,35.22,-80.84,Central,476,2024-08-06,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,80.8,73.6,77.3,0.001,4.17,93.9,80.0,15.6,9.8,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2024,400 E MARTIN LUTHER KING JR BV,28202,35.22,-80.84,Central,476,2024-08-06,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,80.8,73.6,77.3,0.001,4.17,93.9,80.0,15.6,9.8,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2024,400 E MARTIN LUTHER KING JR BV,28202,35.22,-80.84,Central,476,2024-08-06,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,1,Property Theft and Vandalism,4,Brooklyn Village,35.22139,-80.84694,80.8,73.6,77.3,0.001,4.17,93.9,80.0,15.6,9.8,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2017,500 N TRYON ST,28202,35.23,-80.84,Central,476,2017-10-30,Outdoors,Open Area,Street/Highway,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",0,9th Street,35.2297,-80.835,61.1,31.2,45.9,0.0,0.0,0.9,60.6,8.7,9.9,0.0,Clear,,,,,,,,,,,,,,
2022,2100 SOUTHEND DR,28203,35.21,-80.86,Providence,3,2022-07-14,Indoors,Residential,Apartment/Duplex Private Res,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",7,East/West,35.21194,-80.85917,86.9,72.8,79.0,0.0,0.0,83.6,73.1,9.0,9.5,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,2100 SOUTHEND DR,28203,35.21,-80.86,Providence,3,2019-11-10,Parking Deck,Residential,Apartment/Duplex Private Res,Damage/Vandalism Of Property,1,Property Theft and Vandalism,7,East/West,35.21194,-80.85917,63.1,30.9,46.9,0.0,0.0,15.5,65.9,10.1,9.4,0.0,Clear,,,,,,,,,,,,,,
2019,200 ALPHA MILL LN,28206,35.23,-80.83,Central,476,2019-03-14,Outdoors,Residential,Apartment/Duplex Private Res,Burglary/B&E,7,"""Fraud and Theft Crimes""",0,9th Street,35.2297,-80.835,74.6,48.0,61.7,0.0,0.0,63.2,65.7,15.8,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,400 E 4TH ST,28202,35.22,-80.84,Central,476,2025-12-07,Indoors,Commercial Place,Other - Commercial Place,Burglary/B&E,7,"""Fraud and Theft Crimes""",2,CTC/Arena,35.225,-80.84139,41.8,33.2,37.1,0.0,0.0,53.5,89.7,4.8,2.4,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,400 E 4TH ST,28202,35.22,-80.84,Central,476,2025-12-07,Indoors,Commercial Place,Other - Commercial Place,Burglary/B&E,7,"""Fraud and Theft Crimes""",3,3rd St/Convention,35.22361,-80.84306,41.8,33.2,37.1,0.0,0.0,53.5,89.7,4.8,2.4,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,600 E TRADE ST,28202,35.22,-80.84,Central,476,2019-01-22,Other,Public/Non-Residential,Government Building,Pornography/Obscene Material,2,Sexual Offenses Against Privacy,1,7th Street,35.22722,-80.83806,41.0,23.5,32.9,0.0,0.0,59.1,30.4,8.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,600 E TRADE ST,28202,35.22,-80.84,Central,476,2019-01-22,Other,Public/Non-Residential,Government Building,Pornography/Obscene Material,2,Sexual Offenses Against Privacy,2,CTC/Arena,35.225,-80.84139,41.0,23.5,32.9,0.0,0.0,59.1,30.4,8.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2020,600 E TRADE ST,28202,35.22,-80.84,Central,476,2020-04-09,Other,Public/Non-Residential,Government Building,Pornography/Obscene Material,2,Sexual Offenses Against Privacy,1,7th Street,35.22722,-80.83806,81.9,60.0,69.8,0.094,8.33,37.5,52.5,17.3,9.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2020,600 E TRADE ST,28202,35.22,-80.84,Central,476,2020-04-09,Other,Public/Non-Residential,Government Building,Pornography/Obscene Material,2,Sexual Offenses Against Privacy,2,CTC/Arena,35.225,-80.84139,81.9,60.0,69.8,0.094,8.33,37.5,52.5,17.3,9.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,1500 S TRYON ST,28203,35.22,-80.86,Central,339,2024-02-11,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,3,"""Regulatory and Nonviolent Offenses""",6,Bland,35.21583,-80.85528,63.8,56.0,59.5,0.072,29.17,99.6,87.8,11.6,8.1,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2024,1500 S TRYON ST,28203,35.22,-80.86,Central,339,2024-02-11,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,3,"""Regulatory and Nonviolent Offenses""",7,East/West,35.21194,-80.85917,63.8,56.0,59.5,0.072,29.17,99.6,87.8,11.6,8.1,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2021,100 S TRYON ST,28202,35.23,-80.84,Central,476,2021-10-19,Outdoors,Open Area,Street/Highway,Simple Assault,4,Sexual Violence Offenses,2,CTC/Arena,35.225,-80.84139,76.4,42.3,58.9,0.0,0.0,9.2,63.1,7.0,9.8,0.0,Clear,,,,,,,,,,,,,,
2021,100 S TRYON ST,28202,35.23,-80.84,Central,476,2021-10-19,Outdoors,Open Area,Street/Highway,Simple Assault,4,Sexual Violence Offenses,3,3rd St/Convention,35.22361,-80.84306,76.4,42.3,58.9,0.0,0.0,9.2,63.1,7.0,9.8,0.0,Clear,,,,,,,,,,,,,,
2022,1400 S CHURCH ST,28203,35.22,-80.86,Central,339,2022-11-14,Outdoors,Open Area,Street/Highway,Theft From Motor Vehicle,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,51.9,29.9,41.1,0.0,0.0,45.8,57.9,12.2,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-07-08,Indoors,Commercial Place,Bar/Tavern/Nightclub,Simple Assault,4,Sexual Violence Offenses,1,7th Street,35.22722,-80.83806,90.9,69.9,78.9,0.639,12.5,40.9,74.8,12.1,9.5,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-07-08,Indoors,Commercial Place,Bar/Tavern/Nightclub,Simple Assault,4,Sexual Violence Offenses,2,CTC/Arena,35.225,-80.84139,90.9,69.9,78.9,0.639,12.5,40.9,74.8,12.1,9.5,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-07-08,Indoors,Commercial Place,Bar/Tavern/Nightclub,Simple Assault,4,Sexual Violence Offenses,3,3rd St/Convention,35.22361,-80.84306,90.9,69.9,78.9,0.639,12.5,40.9,74.8,12.1,9.5,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2022,100 E TRADE ST,28202,35.23,-80.84,Central,476,2022-07-23,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,Pocket-Picking,7,"""Fraud and Theft Crimes""",2,CTC/Arena,35.225,-80.84139,94.4,73.9,83.6,0.0,0.0,51.8,70.3,8.6,9.0,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,100 E TRADE ST,28202,35.23,-80.84,Central,476,2022-07-23,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,Pocket-Picking,7,"""Fraud and Theft Crimes""",3,3rd St/Convention,35.22361,-80.84306,94.4,73.9,83.6,0.0,0.0,51.8,70.3,8.6,9.0,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,300 E TRADE ST,28202,35.23,-80.84,Central,476,2017-04-01,Indoors,Commercial Place,Stadium/Arena,All Other Thefts,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,75.0,51.2,63.0,0.0,0.0,3.7,49.6,13.8,9.9,0.0,Clear,,,,,,,,,,,,,,
2017,300 E TRADE ST,28202,35.23,-80.84,Central,476,2017-04-01,Indoors,Commercial Place,Stadium/Arena,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,75.0,51.2,63.0,0.0,0.0,3.7,49.6,13.8,9.9,0.0,Clear,,,,,,,,,,,,,,
2017,300 E TRADE ST,28202,35.23,-80.84,Central,476,2017-04-01,Indoors,Commercial Place,Stadium/Arena,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,75.0,51.2,63.0,0.0,0.0,3.7,49.6,13.8,9.9,0.0,Clear,,,,,,,,,,,,,,
2022,600 N TRYON ST,28202,35.23,-80.84,Central,476,2022-10-07,Outdoors,Open Area,Other - Open Area,Missing Person,9,Non-Criminal Incident Reports,0,9th Street,35.2297,-80.835,80.0,52.8,66.2,0.0,0.0,18.2,64.5,6.5,9.9,0.0,Clear,,,,,,,,,,,,,,
2018,300 RENSSELAER AV,28203,35.21,-80.85,Providence,3,2018-02-28,Indoors,Commercial Place,Bar/Tavern/Nightclub,Affray,7,"""Fraud and Theft Crimes""",6,Bland,35.21583,-80.85528,57.8,45.0,50.8,0.061,29.17,92.0,72.2,7.3,8.2,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2025,1700 CAMDEN RD,28203,35.21,-80.86,Central,388,2025-05-08,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,83.7,61.7,69.6,0.82,16.67,80.0,71.3,10.0,9.5,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
