OBJECTID,Tree_ID,Common,DBH,Active,Location,geometry,index_right,name,lat,lon,Deciduous
1764186,110531744,OAK: WILLOW,13.0,1,,POINT (514110.6788573941 3898095.9835314746),2,CTC/Arena,35.225,-80.84139,1
1764186,110531744,OAK: WILLOW,13.0,1,,POINT (514110.6788573941 3898095.9835314746),3,3rd St/Convention,35.22361,-80.84306,1
1764187,110531745,OAK: WILLOW,17.0,1,,POINT (514101.8820850266 3898089.9767787154),2,CTC/Arena,35.225,-80.84139,1
1764187,110531745,OAK: WILLOW,17.0,1,,POINT (514101.8820850266 3898089.9767787154),3,3rd St/Convention,35.22361,-80.84306,1
1764188,110531746,OAK: WILLOW,18.0,1,,POINT (513981.51744739653 3898013.953623473),3,3rd St/Convention,35.22361,-80.84306,1
1764188,110531746,OAK: WILLOW,18.0,1,,POINT (513981.51744739653 3898013.953623473),4,Brooklyn Village,35.22139,-80.84694,1
1764189,110531747,OAK: WILLOW,18.0,1,,POINT (513997.81611103954 3898024.9680032902),2,CTC/Arena,35.225,-80.84139,1
1764189,110531747,OAK: WILLOW,18.0,1,,POINT (513997.81611103954 3898024.9680032902),3,3rd St/Convention,35.22361,-80.84306,1
1764189,110531747,OAK: WILLOW,18.0,1,,POINT (513997.81611103954 3898024.9680032902),4,Brooklyn Village,35.22139,-80.84694,1
1764190,110531748,OAK: WILLOW,11.0,1,,POINT (514051.5987352189 3898070.052700796),2,CTC/Arena,35.225,-80.84139,1
1764190,110531748,OAK: WILLOW,11.0,1,,POINT (514051.5987352189 3898070.052700796),3,3rd St/Convention,35.22361,-80.84306,1
1764191,110531749,OAK: WILLOW,14.0,1,,POINT (514056.16009236756 3898051.0868867678),2,CTC/Arena,35.225,-80.84139,1
1764191,110531749,OAK: WILLOW,14.0,1,,POINT (514056.16009236756 3898051.0868867678),3,3rd St/Convention,35.22361,-80.84306,1
1764192,110531750,OAK: WILLOW,18.0,1,,POINT (514003.99726296094 3898006.5081946757),3,3rd St/Convention,35.22361,-80.84306,1
1764192,110531750,OAK: WILLOW,18.0,1,,POINT (514003.99726296094 3898006.5081946757),4,Brooklyn Village,35.22139,-80.84694,1
1764193,110531751,OAK: WILLOW,99.0,1,,POINT (513679.80319875426 3897952.5664743697),4,Brooklyn Village,35.22139,-80.84694,1
1764194,110531752,OAK: WILLOW,99.0,1,,POINT (513673.6903544504 3897959.96870155),4,Brooklyn Village,35.22139,-80.84694,1
1764195,110531753,OAK: WILLOW,4.0,1,,POINT (513975.99271664553 3897983.4129520585),3,3rd St/Convention,35.22361,-80.84306,1
1764195,110531753,OAK: WILLOW,4.0,1,,POINT (513975.99271664553 3897983.4129520585),4,Brooklyn Village,35.22139,-80.84694,1
1764196,110531754,OAK: WILLOW,4.0,1,,POINT (513966.51604533783 3897974.401001826),3,3rd St/Convention,35.22361,-80.84306,1
1764196,110531754,OAK: WILLOW,4.0,1,,POINT (513966.51604533783 3897974.401001826),4,Brooklyn Village,35.22139,-80.84694,1
